pecha_text_id,id,text_id
jlAtxFg1ENZIsPX3DE9uB,841c464b-3b0f-4cb0-9f7b-9e41cd533979,07a4ffd9-36fe-4a8b-86b2-bc50f3549dfe
uXOKG69ohnlH94vCbIFB0,07a9681e-ed05-4030-a4a3-19e753d39524,d48728d7-be9b-4e77-a7e9-eb954337d86d
gXCk5MQjzS8NDn2UCwe7T,c1c73646-bfbd-4308-a069-8b006fb2abb8,e5c4b962-0934-47a3-a88f-1e4221a14665
LxuZ66O6ACBTF87dUAbMM,f55b5a5b-4077-4f16-ae13-2d651ff408ef,d3b49e66-6d82-4059-8c02-f5fb58572412
9M8TfAWQOo0xtmNxbddeH,9b4feca8-0ac0-4597-b7cc-e403572d33e6,62775e57-7ee1-4a85-8cd2-ea0fef0f1e5b
WCuBWaUcJZhaaFpCOBtTu,7f306743-de7c-4e37-9294-dd132b42612d,8b513a25-b8f7-4c8c-8608-4bc56873555f
WbwOSMNhRXazhoeMaOKsl,bf0fa7fb-1d7f-477e-ad31-995a0c9e353c,fdf57b45-5248-4fd3-9fb7-b9842c9c2f14
sEYJf0XbBfv9173wEzzde,7ea2ff4f-7d2e-4c4c-9fcd-86fd8404195f,9745afa2-1006-435a-94c8-a02fd709dace
UE0ublA1e9c6T0V2Ns3g5,d42099b6-033e-4468-be06-0a550110fcaf,d7143ec8-24cb-4db1-858d-b4fb81a6ff5d
ZAOfFWMZlcfM6ONNNvGfC,d5f1d808-6dc4-4634-ae07-1b22bc1fbd29,ba444681-1c5c-4a3e-a47d-67599f789650
7sYzbFhcS8Vd6tpoFKDtt,ce5ab100-c036-45eb-b9d5-339018c95d5c,53d2c8c4-87be-40b1-8e2e-206a6e2267da
pBWWOsfc622v2pgF1rt6P,078137f6-0aa3-4a04-9c91-aba0b3f80293,4b6a8153-c1f2-4e0b-908b-6109e1f480f9
DfLOYmutIba8DG7YAWzzu,545ffae6-643f-43ae-9174-227a04a5ed72,23024e04-4cd1-4634-a5f2-5dba876af8cc
yLUotgLGkTiD0FtiQma9G,9be29e68-b4be-44ac-a734-0892792d8996,35d98938-2753-4f4a-8696-eb713854050e
54Zic8xtBIaG1oUM72Qcb,09de1e11-9e8b-4f79-b24f-c92b370b05be,ad0f8109-d5a3-403e-84ab-26001a0b49e6
orf0Ch0mNv91NVa3Yf38x,67dd0982-cb28-450f-a976-817c43cfdc45,456e6047-e16c-406f-bed8-c83ea55902cc
ezg9KrCoVdpnzv2Z4ovqh,99a07339-8c22-4eaa-87e9-22ced81a0003,57f3d7b7-31da-4682-84ea-60a515347fbe
IeCCboWWhD9LEjyiD7KM0,0d1be0bb-edcc-4c0a-8fa4-72a25509e8a0,76aa542d-9e8b-468c-9b46-94fac785745b
WBcWUdp4FKC1a3FkMfhjB,452d4801-1932-408d-9a5b-36791b786f88,55f7df7e-8969-40f5-9752-6fdb12e18f17
CbTcGQeZG6YUFdrzM06an,fb1166fa-7d9b-4a1d-8cf3-66c013f122e3,92d9fcfb-63fd-4b47-9cd3-1054f8f47df9
0nmb2RWKyBBB5ItNYUOpZ,d4657de7-edf6-4bc3-8783-1c7a452ae376,548806b7-72e1-4926-9af2-73cb1e5ea6fd
aG82m5L4WiPNl8zNJ9cTx,66b0cb7b-c6e9-4da5-81a0-d607673e3cb5,22c93723-00d1-414b-8f7a-0bad3ab769e6
5K867xTkfIhNXRZK2UJU1,eb32d934-db7a-4441-8b00-31fe7f62a063,d6f102d2-f6e2-4450-aa04-e6a91a2dd346
fWTNx0kKIPVOCm1wUsCBG,6f26d7f2-01ac-4bda-9a32-6c58970940f3,5b757586-5d5a-4b5a-93ba-f4a06b7d253a
p1W5ZGw6IpE3qbS4C9Fwm,b67e9e21-26cf-4b4f-8e25-bc0a7ae26194,93cc785c-b50a-4b25-94b9-700da489028a
cTvNJ37mrJzZFxdFI1rIV,00f6ca57-1b1b-41f1-846c-b6e5dc67370e,1ac6d896-d60e-4982-8fc0-22bb7335152f
TKkRXNV6BTnDhcBWUxLA2,2cd3950b-4b0d-426b-b824-0497838ad8fc,1caf149e-a3d5-494b-a8d2-ee7753478784
QeokHfi3IxCtXQ8beITgg,118f60f0-921f-47d1-b639-c1d2be7c865d,d8c5414c-e3d8-44b2-b2b5-78f777ed5392
1s5IWgxLDzJOQw68ZyyC0,b2a3a422-a040-4d1f-bfdf-910fb9d2ec81,c06e5784-a433-47ef-a30c-75cdaf0e7e5a
zj3qdU77AFzibkJ4HxicB,b020ac06-7dc2-4820-90c3-ff6a6666655f,e8420f38-2aeb-4283-8b8a-80252b9daf73
lY3D1J8arJG7Yh1WuwkT5,72a18c90-34f4-4512-8590-f57599732b96,d8bb502c-059b-4095-8984-8b6d69450595
KxQzbCFTq8aD1LT5kyztm,0d990198-9f2a-4856-8c99-c0ffe71f19ea,675dff15-1379-4160-9b7c-3268dc8a3f19
2bkw52t1QrXyIWYHFoxVH,c7c17cd1-a5af-4eca-9d6c-23ba26cf68a0,6c9a4c63-7bb3-474b-abf5-2cfebf5ac103
GBoghLOddxolhLXYkoUoB,f516c0a3-9f6d-49d1-b25d-89f448806638,7cb2e6d3-1fea-4a68-af2a-369eb06693ef
QrrCsdvFYn0hhICQLjuf6,eda1ba63-613f-4710-8d41-e454c9dde993,a812ed15-6c59-44ed-9dae-f10c024a290a
yo06sE6upkuPNHA3eJGby,aa2a5b82-4380-4b6a-a54e-90b6c7d547d7,bf85f3df-86fc-4144-a5cf-ee43468071e4
3CE4T7KuMJk4Np916v9GE,214c5e85-e7cc-4c64-a191-6f17a36cf8b3,2d06c932-bdd9-4041-9eda-8b90a62aac33
TUahQwT6Esb7Zioj99bKd,69ff3a88-fc8a-4e35-8482-c85f3861fa92,5e611784-3412-4356-a7ba-5cfe28f99f14
gjQ2rNWF1niiI0IJI2PUG,35124a27-e8a3-4fed-ae6e-951779ff9a76,f5406d15-3bf6-4b82-b350-6de688d150ef
eGDGvB7RIn6gMaizwhvIu,0f70a162-5860-43f2-b9f3-f7c5d49b33b7,cd002a05-1730-4568-a07a-a00592dcdb57
S8ffmS45MR67B43GroHqI,5c916dd0-9e78-479f-83d7-6166545df500,e09490e1-daac-451b-be0d-d0bdce6f9385
DtVHIlNohPvbM2LPgLNgS,cac562d2-6b28-4396-9947-29152b70749f,719c0465-4fe3-4161-8645-ca8a69218710
UkdCKmc19409kTffUwgDg,71568a8f-b474-4517-a161-782c11a72761,df562a83-a926-4e9a-8899-a20a92fac8b2
ca1YQ044RTGdEL1OpuxkN,4df2efc4-1669-4b95-ac17-d6b3b330099c,9ecfab2b-327c-4712-997a-60239af13314
LabA9H2IVpUvJ0sJl5tLJ,a8c00a64-6658-4efd-b93f-7b26c4225c9d,35ed14eb-bd06-4125-8b5b-6b0e11f41af2
mSfDLqTo91XUBADaZyU8H,cb60fa53-7f8e-4bb0-a822-856f60508571,04a3ce4c-ed8e-4cfa-bfb7-07f653fedac5
U5f7ICfguUZXayWpoU7fa,e3bf8a8f-d3cd-49c7-80d0-43f3c3e1339d,176bd2f3-a14c-49af-a7f2-e4375948f084
yR2qxQ7wmym8b5q59rjru,77fa69b1-3ad1-4934-9305-32896eaaf56f,40ef27d4-c5b4-4d56-93e3-94d685f60e24
ZKXzMuRdIkOHi4p8itqy0,84392eac-55b1-45c9-9bdf-4ce8f5a05c91,531597e8-2fe5-468e-bb37-622b498e8ebf
eV9QdkZQqnL4ChCGKsl6p,1106c11c-1a29-4f7d-bb49-d27fcbe71760,e6b4f354-bcd0-4d02-8cde-8ba424ae6ab8
Ma2fLZZaE0EKU4FHsOnCi,84038236-c33d-4b0f-97d2-7286bc3d8776,2a0a03cd-49c3-4133-a310-d01219700969
7ODeKN8v1RvJXj4l9uIlx,209dac3b-3c76-4785-b752-ede693759a1e,bfd23853-4f16-4fb4-a243-735b5e327fb2
eK4Jr2LncjzNrrSCH76QR,7e205d6e-fc19-4683-84c3-8a4ac16fe879,47e596c8-3bf7-4977-b638-ee9badc40a93
jRxQyrlfhhETLNd3S907W,c8824af5-e237-41a7-939f-56cfe1bbcde2,66eef322-41aa-4823-838c-3f21a936d2c7
Dy1YWa8vi9WUIU6zkmSgJ,89f9c2c8-99d3-469d-a01a-2bb8e4c25e01,cf687b05-0251-4804-a591-0f871c362ce3
U4PaNazpnvypJcwgCG4Uh,10a0f2e7-1c2a-4807-b813-31ac9ac28fe5,87ce77b6-7434-4f28-8f96-e5fcee06053c
MhAsxp6yEWOqioQCPxzyH,97dc9f64-44f7-44f2-9e70-2abe2fbd318f,7b7229de-2564-47fe-b0da-d6b527c52b16
iDKPoXHDGh4xyFH8jhYRp,2ec3b261-1df2-4078-a56f-36f5cdcec4e4,2bcf8e6d-dacf-4680-be10-30fde1f2bdac
RSeCrv7blZMp6eCmF4g18,e46872ca-b88f-4c16-a4c7-b0ce8e84585e,c8146313-91ce-41f9-b3cf-cac7f48eaa8e
NirhURVGRd9XtNpgdMhfE,eeccd433-ee87-433d-81f5-20648cc1f975,d10b02b8-ca0c-4dc8-899a-371c5d439e1a
KOKMLzhvaSw4rxLRr2mUv,9cc4a4e2-cd98-4544-90d1-4c3fc71043fa,2bf3a942-e93e-4b5e-a8f6-bce95b189896
dSRul9FOSl4S1fmZCWyEO,50a7e348-af0e-4197-8ef9-03757f421066,54ab6bb3-f3d1-4297-a9d4-c921a13dd021
PjREQ67oGbiuDWLRmN07d,4899557e-869e-483d-b010-3ddabc00fe8e,7ec99fe5-ae73-424f-a9ab-308ef9a513c5
vGJTfC9a74zGQtNIVWZp2,987e8ac5-5451-4e77-bf2b-e379d631e737,7a9d8b5b-ea77-41ed-9ca2-a762a7934275
pe3jz7haOLsHaAvt5ZabM,db730bc0-90e8-4869-af2a-5f9b419184e0,d3511ec9-9e7e-4e6f-abca-0a8242c9dd5f
bMVXqVVBBuJjwijKi3ZQC,cc7a069e-95ff-43a5-95d4-1f1f1588dce4,ebd8996c-90f3-4483-9328-4efc906a86ee
AgyRGdh8vPcJ9F1kIxesl,2809293b-507b-4293-8d14-8750ca632570,387c8d5b-6374-4908-964b-fcd312e95ff0
HudYMh56zmNUMcCJxpkVZ,4b628ee0-d3de-441e-a0bf-0fc7af313410,e6618942-0db1-4523-ad07-448c0192005a
WbrceifDKDboOF2tXV58N,9011fbc0-fc04-4e8f-acf6-3621a5aa2d25,94bc016f-9b99-49cf-843e-6d8018dac382
BbJLjaWcpnPK7zNiBJWrA,afab566b-257a-40a1-bdac-711f2314fb2d,faea925f-022a-4acd-b68a-0b45750c6aba
nWLt9kBcHqJUA9sdRsq7C,a345a615-022b-430d-976d-dc23e150bd43,a8b5df28-6202-47ab-b2e1-b2f30ec5ebad
4iBbPGkfdtvvIpiOaylts,fa76420f-289c-4318-8fa4-83934af52fd6,6e9ad5fe-6f7a-4e71-8fd1-920a91462c88
h7lamyKnVF1G1fSVwKGUf,ff99140b-2ab5-48ad-b5fe-1b09f6e9fdae,489ec253-555c-4b15-88d0-616ef451c249
aSB382BhLd0Cj54u5H18m,0ac6fcdc-c17f-45f0-a2eb-e6bcec63daab,bb95e878-0566-40eb-a152-67622804e956
gC0xc4dusWV5z1SVivKd3,48ecd197-a39b-4fb8-9f59-e7c2f4bdac40,1abc0f04-3c66-43ca-971e-f11782d56f18
tyjf1DPwP373siFQNue6S,fb237cec-9838-4bab-bebd-fb2cfa815b68,83181d90-90ac-420c-9f2e-1918c0bc5b0b
4uvifHyaoiociZhKdrGFt,34485c3b-db50-4459-baac-a6addcde3367,0fc84bd8-492a-470b-97bb-721cce82e4ed
vb34oKSiAXXvmZHZSF2Nu,f139d97d-7110-4eca-a82f-578bdc9fb1fb,432ee631-6f0e-49a4-958c-38db79d5ca43
3fqRb082SLYcLoFMk3sjO,26ed218b-0718-4fb4-86b4-7157b0760a68,5cca384c-ea5e-4661-880b-7da7c8324cf6
JMZa47Yfj3k0fn4YGdMi0,fc9c67df-4dee-46dd-a767-f13ce2be8e27,2c1e511c-d316-4ee2-af5a-6d79a469ce22
eplDox4zTN8QyaYBNaFQw,61b73f09-964d-492d-98e5-8854796128ed,ac9a674b-079e-434f-ae59-e5857eb60d75
4IAoMUaoDs3pcWA7OJp6s,09480f3a-c5bc-4faa-8f12-66e9df19670d,c56ef544-12f7-45be-a027-613fbae5f773
THnmyudq9lcAI6ruWunhP,f08b93b7-b6c1-4db0-a05f-f2548220a290,0ff077ac-3eac-43b3-ad33-5ccd8ab36f66
hplS8X6pO65jPcrF4BxYo,6074ed9e-417d-4bb1-a77e-147ae792807c,7e3652fe-7e2a-4e85-8a12-9269a49ccd63
